x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.6967,-0.9204,-0.38528,-1.1068,-2.6875,-0.6136,-0.37421,-1.1639,0.2,-2.6814,-0.3068,-0.36257,-1.2266,0.2,-2.6783,-0.1534,-0.35031,-1.2381,0.2,-2.6768,0,-0.33792,-1.2209,-0.2,-2.6768,0.1534,-0.32572,-1.1981,-0.2
-2.709,-1.2272,-0.39578,-1.0498,-2.6967,-0.9204,-0.38528,-1.1068,0.2,-2.6875,-0.6136,-0.37421,-1.1639,0.2,-2.6814,-0.3068,-0.36257,-1.2266,0.2,-2.6783,-0.1534,-0.35031,-1.2381,0.2,-2.6768,0,-0.33792,-1.2209,-0.2
-2.7243,-1.534,-0.40576,-0.99843,-2.709,-1.2272,-0.39578,-1.0498,0.2,-2.6967,-0.9204,-0.38528,-1.1068,0.2,-2.6875,-0.6136,-0.37421,-1.1639,0.2,-2.6814,-0.3068,-0.36257,-1.2266,0.2,-2.6783,-0.1534,-0.35031,-1.2381,0.2
-2.7427,-1.8408,-0.41512,-0.93567,-2.7243,-1.534,-0.40576,-0.99843,0.2,-2.709,-1.2272,-0.39578,-1.0498,0.2,-2.6967,-0.9204,-0.38528,-1.1068,0.2,-2.6875,-0.6136,-0.37421,-1.1639,0.2,-2.6814,-0.3068,-0.36257,-1.2266,0.2
-2.7642,-2.1476,-0.4239,-0.87862,-2.7427,-1.8408,-0.41512,-0.93567,0.2,-2.7243,-1.534,-0.40576,-0.99843,0.2,-2.709,-1.2272,-0.39578,-1.0498,0.2,-2.6967,-0.9204,-0.38528,-1.1068,0.2,-2.6875,-0.6136,-0.37421,-1.1639,0.2
-2.7872,-2.301,-0.43212,-0.82156,-2.7642,-2.1476,-0.4239,-0.87862,0.2,-2.7427,-1.8408,-0.41512,-0.93567,0.2,-2.7243,-1.534,-0.40576,-0.99843,0.2,-2.709,-1.2272,-0.39578,-1.0498,0.2,-2.6967,-0.9204,-0.38528,-1.1068,0.2
-2.8148,-2.7612,-0.43976,-0.76451,-2.7872,-2.301,-0.43212,-0.82156,0.2,-2.7642,-2.1476,-0.4239,-0.87862,0.2,-2.7427,-1.8408,-0.41512,-0.93567,0.2,-2.7243,-1.534,-0.40576,-0.99843,0.2,-2.709,-1.2272,-0.39578,-1.0498,0.2
-2.844,-2.9146,-0.44684,-0.70746,-2.8148,-2.7612,-0.43976,-0.76451,0.2,-2.7872,-2.301,-0.43212,-0.82156,0.2,-2.7642,-2.1476,-0.4239,-0.87862,0.2,-2.7427,-1.8408,-0.41512,-0.93567,0.2,-2.7243,-1.534,-0.40576,-0.99843,0.2
-2.8777,-3.3748,-0.45334,-0.6504,-2.844,-2.9146,-0.44684,-0.70746,0.2,-2.8148,-2.7612,-0.43976,-0.76451,0.2,-2.7872,-2.301,-0.43212,-0.82156,0.2,-2.7642,-2.1476,-0.4239,-0.87862,0.2,-2.7427,-1.8408,-0.41512,-0.93567,0.2
-2.9115,-3.3748,-0.45928,-0.59335,-2.8777,-3.3748,-0.45334,-0.6504,0.2,-2.844,-2.9146,-0.44684,-0.70746,0.2,-2.8148,-2.7612,-0.43976,-0.76451,0.2,-2.7872,-2.301,-0.43212,-0.82156,0.2,-2.7642,-2.1476,-0.4239,-0.87862,0.2
-2.9498,-3.835,-0.46464,-0.5363,-2.9115,-3.3748,-0.45928,-0.59335,0.2,-2.8777,-3.3748,-0.45334,-0.6504,0.2,-2.844,-2.9146,-0.44684,-0.70746,0.2,-2.8148,-2.7612,-0.43976,-0.76451,0.2,-2.7872,-2.301,-0.43212,-0.82156,0.2
-2.9897,-3.9884,-0.46943,-0.47925,-2.9498,-3.835,-0.46464,-0.5363,0.2,-2.9115,-3.3748,-0.45928,-0.59335,0.2,-2.8777,-3.3748,-0.45334,-0.6504,0.2,-2.844,-2.9146,-0.44684,-0.70746,0.2,-2.8148,-2.7612,-0.43976,-0.76451,0.2
-3.0326,-4.2952,-0.47365,-0.42219,-2.9897,-3.9884,-0.46943,-0.47925,0.2,-2.9498,-3.835,-0.46464,-0.5363,0.2,-2.9115,-3.3748,-0.45928,-0.59335,0.2,-2.8777,-3.3748,-0.45334,-0.6504,0.2,-2.844,-2.9146,-0.44684,-0.70746,0.2
-3.0771,-4.4486,-0.47731,-0.36514,-3.0326,-4.2952,-0.47365,-0.42219,0.2,-2.9897,-3.9884,-0.46943,-0.47925,0.2,-2.9498,-3.835,-0.46464,-0.5363,0.2,-2.9115,-3.3748,-0.45928,-0.59335,0.2,-2.8777,-3.3748,-0.45334,-0.6504,0.2
-3.1231,-4.602,-0.48044,-0.31379,-3.0771,-4.4486,-0.47731,-0.36514,0.2,-3.0326,-4.2952,-0.47365,-0.42219,0.2,-2.9897,-3.9884,-0.46943,-0.47925,0.2,-2.9498,-3.835,-0.46464,-0.5363,0.2,-2.9115,-3.3748,-0.45928,-0.59335,0.2
3.111,-4.9088,-0.48301,-0.25674,-3.1231,-4.602,-0.48044,-0.31379,0.2,-3.0771,-4.4486,-0.47731,-0.36514,0.2,-3.0326,-4.2952,-0.47365,-0.42219,0.2,-2.9897,-3.9884,-0.46943,-0.47925,0.2,-2.9498,-3.835,-0.46464,-0.5363,0.2
3.0619,-4.9088,-0.48506,-0.20539,3.111,-4.9088,-0.48301,-0.25674,0.2,-3.1231,-4.602,-0.48044,-0.31379,0.2,-3.0771,-4.4486,-0.47731,-0.36514,0.2,-3.0326,-4.2952,-0.47365,-0.42219,0.2,-2.9897,-3.9884,-0.46943,-0.47925,0.2
