x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-2.2073,-0.767,0.30677,-0.22821,-2.1997,-0.3068,0.30906,-0.24533,0.017815,-2.1966,-0.1534,0.31151,-0.26244,0.017815,-2.1951,0.3068,0.31413,-0.27956,0.017815
-2.2166,-0.9204,0.30472,-0.20539,-2.2073,-0.767,0.30677,-0.22821,0.017815,-2.1997,-0.3068,0.30906,-0.24533,0.017815,-2.1966,-0.1534,0.31151,-0.26244,0.017815
-2.2288,-1.2272,0.30284,-0.18827,-2.2166,-0.9204,0.30472,-0.20539,0.017815,-2.2073,-0.767,0.30677,-0.22821,0.017815,-2.1997,-0.3068,0.30906,-0.24533,0.017815
-2.2442,-1.534,0.30113,-0.17116,-2.2288,-1.2272,0.30284,-0.18827,0.017815,-2.2166,-0.9204,0.30472,-0.20539,0.017815,-2.2073,-0.767,0.30677,-0.22821,0.017815
-2.2626,-1.8408,0.29959,-0.15404,-2.2442,-1.534,0.30113,-0.17116,0.017815,-2.2288,-1.2272,0.30284,-0.18827,0.017815,-2.2166,-0.9204,0.30472,-0.20539,0.017815
-2.284,-2.1476,0.29822,-0.13693,-2.2626,-1.8408,0.29959,-0.15404,0.017815,-2.2442,-1.534,0.30113,-0.17116,0.017815,-2.2288,-1.2272,0.30284,-0.18827,0.017815
-2.3086,-2.4544,0.29702,-0.11981,-2.284,-2.1476,0.29822,-0.13693,0.017815,-2.2626,-1.8408,0.29959,-0.15404,0.017815,-2.2442,-1.534,0.30113,-0.17116,0.017815
-2.3347,-2.6078,0.29599,-0.1027,-2.3086,-2.4544,0.29702,-0.11981,0.017815,-2.284,-2.1476,0.29822,-0.13693,0.017815,-2.2626,-1.8408,0.29959,-0.15404,0.017815
-2.3638,-2.9146,0.29519,-0.079874,-2.3347,-2.6078,0.29599,-0.1027,0.017815,-2.3086,-2.4544,0.29702,-0.11981,0.017815,-2.284,-2.1476,0.29822,-0.13693,0.017815
-2.396,-3.2214,0.29451,-0.068464,-2.3638,-2.9146,0.29519,-0.079874,0.017815,-2.3347,-2.6078,0.29599,-0.1027,0.017815,-2.3086,-2.4544,0.29702,-0.11981,0.017815
-2.4313,-3.5282,0.29399,-0.051348,-2.396,-3.2214,0.29451,-0.068464,0.017815,-2.3638,-2.9146,0.29519,-0.079874,0.017815,-2.3347,-2.6078,0.29599,-0.1027,0.017815
-2.4681,-3.6816,0.29371,-0.028527,-2.4313,-3.5282,0.29399,-0.051348,0.017815,-2.396,-3.2214,0.29451,-0.068464,0.017815,-2.3638,-2.9146,0.29519,-0.079874,0.017815
-2.508,-3.9884,0.29365,-0.0057053,-2.4681,-3.6816,0.29371,-0.028527,0.17666,-2.4313,-3.5282,0.29399,-0.051348,0.017815,-2.396,-3.2214,0.29451,-0.068464,0.017815
-2.551,-4.2952,0.29417,0.051348,-2.508,-3.9884,0.29365,-0.0057053,0.17666,-2.4681,-3.6816,0.29371,-0.028527,0.17666,-2.4313,-3.5282,0.29399,-0.051348,0.017815
-2.597,-4.602,0.29502,0.085579,-2.551,-4.2952,0.29417,0.051348,0.17666,-2.508,-3.9884,0.29365,-0.0057053,0.17666,-2.4681,-3.6816,0.29371,-0.028527,0.17666
-2.6461,-4.9088,0.29622,0.11981,-2.597,-4.602,0.29502,0.085579,0.17666,-2.551,-4.2952,0.29417,0.051348,0.17666,-2.508,-3.9884,0.29365,-0.0057053,0.17666
-2.6967,-5.0622,0.2977,0.14834,-2.6461,-4.9088,0.29622,0.11981,0.17666,-2.597,-4.602,0.29502,0.085579,0.17666,-2.551,-4.2952,0.29417,0.051348,0.17666
-2.7488,-5.2156,0.29947,0.17686,-2.6967,-5.0622,0.2977,0.14834,0.17666,-2.6461,-4.9088,0.29622,0.11981,0.17666,-2.597,-4.602,0.29502,0.085579,0.17666
-2.8041,-5.5224,0.30153,0.20539,-2.7488,-5.2156,0.29947,0.17686,0.17666,-2.6967,-5.0622,0.2977,0.14834,0.17666,-2.6461,-4.9088,0.29622,0.11981,0.17666
-2.8624,-5.8292,0.30392,0.23962,-2.8041,-5.5224,0.30153,0.20539,0.17666,-2.7488,-5.2156,0.29947,0.17686,0.17666,-2.6967,-5.0622,0.2977,0.14834,0.17666
-2.9207,-5.8292,0.30655,0.26244,-2.8624,-5.8292,0.30392,0.23962,0.17666,-2.8041,-5.5224,0.30153,0.20539,0.17666,-2.7488,-5.2156,0.29947,0.17686,0.17666
-2.9805,-5.9826,0.3094,0.28527,-2.9207,-5.8292,0.30655,0.26244,0.17666,-2.8624,-5.8292,0.30392,0.23962,0.17666,-2.8041,-5.5224,0.30153,0.20539,0.17666
-3.0418,-6.136,0.31254,0.31379,-2.9805,-5.9826,0.3094,0.28527,0.17666,-2.9207,-5.8292,0.30655,0.26244,0.17666,-2.8624,-5.8292,0.30392,0.23962,0.17666
