x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-2.011,0.3068,0.37472,-0.60476,-2.0141,0.6136,0.38077,-0.58194,-0.2,-2.0202,0.9204,0.38659,-0.56482,-0.2,-2.0294,1.0738,0.39224,-0.542,-0.2
-2.011,0,0.36845,-0.62758,-2.011,0.3068,0.37472,-0.60476,-0.2,-2.0141,0.6136,0.38077,-0.58194,-0.2,-2.0202,0.9204,0.38659,-0.56482,-0.2
-2.0125,-0.1534,0.362,-0.6447,-2.011,0,0.36845,-0.62758,-0.2,-2.011,0.3068,0.37472,-0.60476,-0.2,-2.0141,0.6136,0.38077,-0.58194,-0.2
-2.0171,-0.4602,0.35533,-0.66752,-2.0125,-0.1534,0.362,-0.6447,-0.2,-2.011,0,0.36845,-0.62758,-0.2,-2.011,0.3068,0.37472,-0.60476,-0.2
-2.0248,-0.767,0.34848,-0.68464,-2.0171,-0.4602,0.35533,-0.66752,-0.2,-2.0125,-0.1534,0.362,-0.6447,-0.2,-2.011,0,0.36845,-0.62758,-0.2
-2.0355,-1.0738,0.34146,-0.70175,-2.0248,-0.767,0.34848,-0.68464,-0.16553,-2.0171,-0.4602,0.35533,-0.66752,-0.2,-2.0125,-0.1534,0.362,-0.6447,-0.2
-2.0478,-1.2272,0.33427,-0.71887,-2.0355,-1.0738,0.34146,-0.70175,-0.16919,-2.0248,-0.767,0.34848,-0.68464,-0.16553,-2.0171,-0.4602,0.35533,-0.66752,-0.2
-2.0632,-1.534,0.32697,-0.73028,-2.0478,-1.2272,0.33427,-0.71887,-0.17266,-2.0355,-1.0738,0.34146,-0.70175,-0.16919,-2.0248,-0.767,0.34848,-0.68464,-0.16553
-2.08,-1.6874,0.3195,-0.74739,-2.0632,-1.534,0.32697,-0.73028,-0.17594,-2.0478,-1.2272,0.33427,-0.71887,-0.17266,-2.0355,-1.0738,0.34146,-0.70175,-0.16919
-2.1015,-2.1476,0.31185,-0.76451,-2.08,-1.6874,0.3195,-0.74739,-0.17902,-2.0632,-1.534,0.32697,-0.73028,-0.17594,-2.0478,-1.2272,0.33427,-0.71887,-0.17266
-2.123,-2.1476,0.30409,-0.77592,-2.1015,-2.1476,0.31185,-0.76451,-0.18191,-2.08,-1.6874,0.3195,-0.74739,-0.17902,-2.0632,-1.534,0.32697,-0.73028,-0.17594
-2.1491,-2.6078,0.29616,-0.79304,-2.123,-2.1476,0.30409,-0.77592,-0.18459,-2.1015,-2.1476,0.31185,-0.76451,-0.18191,-2.08,-1.6874,0.3195,-0.74739,-0.17902
-2.1767,-2.7612,0.288,-0.81586,-2.1491,-2.6078,0.29616,-0.79304,-0.18706,-2.123,-2.1476,0.30409,-0.77592,-0.18459,-2.1015,-2.1476,0.31185,-0.76451,-0.18191
