x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
2.8379,0.7669904,-0.40937,-1.0231,2.8302,0.6135923,-0.39913,-1.0172,0.493,2.8241,0.4601942,-0.38896,-0.99933,0.48834,2.8195,0.6135923,-0.37897,-0.99933,0.4836,2.8133,0.3067962,-0.36898,-0.95174,0.47877,2.8103,0.3067962,-0.35946,-0.98743,0.47386
2.844,0.6135923,-0.41978,-1.041,2.8379,0.7669904,-0.40937,-1.0231,0.49757,2.8302,0.6135923,-0.39913,-1.0172,0.493,2.8241,0.4601942,-0.38896,-0.99933,0.48834,2.8195,0.6135923,-0.37897,-0.99933,0.4836,2.8133,0.3067962,-0.36898,-0.95174,0.47877
2.8532,0.9203885,-0.43102,-1.1242,2.844,0.6135923,-0.41978,-1.041,0.50205,2.8379,0.7669904,-0.40937,-1.0231,0.49757,2.8302,0.6135923,-0.39913,-1.0172,0.493,2.8241,0.4601942,-0.38896,-0.99933,0.48834,2.8195,0.6135923,-0.37897,-0.99933,0.4836
2.8624,0.9203885,-0.44167,-1.0648,2.8532,0.9203885,-0.43102,-1.1242,0.50645,2.844,0.6135923,-0.41978,-1.041,0.50205,2.8379,0.7669904,-0.40937,-1.0231,0.49757,2.8302,0.6135923,-0.39913,-1.0172,0.493,2.8241,0.4601942,-0.38896,-0.99933,0.48834
2.8716,0.9203885,-0.45214,-1.0469,2.8624,0.9203885,-0.44167,-1.0648,0.51076,2.8532,0.9203885,-0.43102,-1.1242,0.50645,2.844,0.6135923,-0.41978,-1.041,0.50205,2.8379,0.7669904,-0.40937,-1.0231,0.49757,2.8302,0.6135923,-0.39913,-1.0172,0.493
2.8823,1.073787,-0.46284,-1.0707,2.8716,0.9203885,-0.45214,-1.0469,0.51498,2.8624,0.9203885,-0.44167,-1.0648,0.51076,2.8532,0.9203885,-0.43102,-1.1242,0.50645,2.844,0.6135923,-0.41978,-1.041,0.50205,2.8379,0.7669904,-0.40937,-1.0231,0.49757
2.8916,0.9203885,-0.4729,-1.0053,2.8823,1.073787,-0.46284,-1.0707,0.51911,2.8716,0.9203885,-0.45214,-1.0469,0.51498,2.8624,0.9203885,-0.44167,-1.0648,0.51076,2.8532,0.9203885,-0.43102,-1.1242,0.50645,2.844,0.6135923,-0.41978,-1.041,0.50205
2.9038,1.227185,-0.48372,-1.0826,2.8916,0.9203885,-0.4729,-1.0053,0.52315,2.8823,1.073787,-0.46284,-1.0707,0.51911,2.8716,0.9203885,-0.45214,-1.0469,0.51498,2.8624,0.9203885,-0.44167,-1.0648,0.51076,2.8532,0.9203885,-0.43102,-1.1242,0.50645
2.9146,1.073787,-0.49455,-1.0826,2.9038,1.227185,-0.48372,-1.0826,0.52709,2.8916,0.9203885,-0.4729,-1.0053,0.52315,2.8823,1.073787,-0.46284,-1.0707,0.51911,2.8716,0.9203885,-0.45214,-1.0469,0.51498,2.8624,0.9203885,-0.44167,-1.0648,0.51076
2.9268,1.227185,-0.50543,-1.0886,2.9146,1.073787,-0.49455,-1.0826,0.53094,2.9038,1.227185,-0.48372,-1.0826,0.52709,2.8916,0.9203885,-0.4729,-1.0053,0.52315,2.8823,1.073787,-0.46284,-1.0707,0.51911,2.8716,0.9203885,-0.45214,-1.0469,0.51498
