x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
2.4897,7.3631078,-0.49597,-0.84467,2.416,8.1300982,-0.48753,-0.96364,0.25124,2.3347,7.5165059,-0.47789,-0.89821,0.25124,2.2596,7.0563116,-0.46891,-0.86847,0.25124
2.5756,8.5902924,-0.50555,-0.95769,2.4897,7.3631078,-0.49597,-0.84467,0.25124,2.416,8.1300982,-0.48753,-0.96364,0.25124,2.3347,7.5165059,-0.47789,-0.89821,0.25124
2.6523,7.6699039,-0.514,-0.84467,2.5756,8.5902924,-0.50555,-0.95769,-1,2.4897,7.3631078,-0.49597,-0.84467,0.25124,2.416,8.1300982,-0.48753,-0.96364,0.25124
2.7336,8.1300982,-0.52262,-0.86252,2.6523,7.6699039,-0.514,-0.84467,-1,2.5756,8.5902924,-0.50555,-0.95769,-1,2.4897,7.3631078,-0.49597,-0.84467,0.25124
2.8241,9.0504866,-0.53077,-0.81493,2.7336,8.1300982,-0.52262,-0.86252,-1,2.6523,7.6699039,-0.514,-0.84467,-1,2.5756,8.5902924,-0.50555,-0.95769,-1
2.9084,8.4368943,-0.53744,-0.66622,2.8241,9.0504866,-0.53077,-0.81493,-1,2.7336,8.1300982,-0.52262,-0.86252,-1,2.6523,7.6699039,-0.514,-0.84467,-1
2.9989,9.0504866,-0.54374,-0.63053,2.9084,8.4368943,-0.53744,-0.66622,-1,2.8241,9.0504866,-0.53077,-0.81493,-1,2.7336,8.1300982,-0.52262,-0.86252,-1
3.094,9.5106809,-0.54951,-0.57699,2.9989,9.0504866,-0.54374,-0.63053,-1,2.9084,8.4368943,-0.53744,-0.66622,-1,2.8241,9.0504866,-0.53077,-0.81493,-1
-3.094,9.5106809,-0.55457,-0.50561,3.094,9.5106809,-0.54951,-0.57699,-1,2.9989,9.0504866,-0.54374,-0.63053,-1,2.9084,8.4368943,-0.53744,-0.66622,-1
-2.9974,9.664079,-0.55903,-0.44613,-3.094,9.5106809,-0.55457,-0.50561,-1,3.094,9.5106809,-0.54951,-0.57699,-1,2.9989,9.0504866,-0.54374,-0.63053,-1
-2.8992,9.817477,-0.56283,-0.3807,-2.9974,9.664079,-0.55903,-0.44613,-1,-3.094,9.5106809,-0.55457,-0.50561,-1,3.094,9.5106809,-0.54951,-0.57699,-1
-2.7995,9.9708751,-0.56617,-0.33311,-2.8992,9.817477,-0.56283,-0.3807,-1,-2.9974,9.664079,-0.55903,-0.44613,-1,-3.094,9.5106809,-0.55457,-0.50561,-1
-2.6952,10.431069,-0.56896,-0.27957,-2.7995,9.9708751,-0.56617,-0.33311,-1,-2.8992,9.817477,-0.56283,-0.3807,-1,-2.9974,9.664079,-0.55903,-0.44613,-1
