x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.8547,-0.920388,-0.5664,1.01123,-2.8455,-0.76699,-0.57652,0.999331,-0.82,-2.8379,-0.613592,-0.58651,0.957692,-0.82,-2.8317,-0.76699,-0.59609,0.957692,-0.82,-2.8241,-0.613592,-0.60566,1.01718,-0.82,-2.8179,-0.613592,-0.61584,0.963641,-0.82
-2.8639,-0.920388,-0.55611,1.02907,-2.8547,-0.920388,-0.5664,1.01123,-0.82,-2.8455,-0.76699,-0.57652,0.999331,-0.82,-2.8379,-0.613592,-0.58651,0.957692,-0.82,-2.8317,-0.76699,-0.59609,0.957692,-0.82,-2.8241,-0.613592,-0.60566,1.01718,-0.82
-2.8731,-0.920388,-0.54582,1.02907,-2.8639,-0.920388,-0.55611,1.02907,-0.82,-2.8547,-0.920388,-0.5664,1.01123,-0.82,-2.8455,-0.76699,-0.57652,0.999331,-0.82,-2.8379,-0.613592,-0.58651,0.957692,-0.82,-2.8317,-0.76699,-0.59609,0.957692,-0.82
-2.8854,-1.22718,-0.53488,1.09451,-2.8731,-0.920388,-0.54582,1.02907,-0.82,-2.8639,-0.920388,-0.55611,1.02907,-0.82,-2.8547,-0.920388,-0.5664,1.01123,-0.82,-2.8455,-0.76699,-0.57652,0.999331,-0.82,-2.8379,-0.613592,-0.58651,0.957692,-0.82
-2.8946,-0.920388,-0.525,0.987434,-2.8854,-1.22718,-0.53488,1.09451,-0.82,-2.8731,-0.920388,-0.54582,1.02907,-0.82,-2.8639,-0.920388,-0.55611,1.02907,-0.82,-2.8547,-0.920388,-0.5664,1.01123,-0.82,-2.8455,-0.76699,-0.57652,0.999331,-0.82
-2.9054,-1.07379,-0.51465,1.03502,-2.8946,-0.920388,-0.525,0.987434,-0.82,-2.8854,-1.22718,-0.53488,1.09451,-0.82,-2.8731,-0.920388,-0.54582,1.02907,-0.82,-2.8639,-0.920388,-0.55611,1.02907,-0.82,-2.8547,-0.920388,-0.5664,1.01123,-0.82
-2.9176,-1.22718,-0.50406,1.05882,-2.9054,-1.07379,-0.51465,1.03502,-0.82,-2.8946,-0.920388,-0.525,0.987434,-0.82,-2.8854,-1.22718,-0.53488,1.09451,-0.82,-2.8731,-0.920388,-0.54582,1.02907,-0.82,-2.8639,-0.920388,-0.55611,1.02907,-0.82
-2.9299,-1.22718,-0.4936,1.04692,-2.9176,-1.22718,-0.50406,1.05882,-0.82,-2.9054,-1.07379,-0.51465,1.03502,-0.82,-2.8946,-0.920388,-0.525,0.987434,-0.82,-2.8854,-1.22718,-0.53488,1.09451,-0.82,-2.8731,-0.920388,-0.54582,1.02907,-0.82
-2.9422,-1.22718,-0.48295,1.06476,-2.9299,-1.22718,-0.4936,1.04692,0.26,-2.9176,-1.22718,-0.50406,1.05882,-0.82,-2.9054,-1.07379,-0.51465,1.03502,-0.82,-2.8946,-0.920388,-0.525,0.987434,-0.82,-2.8854,-1.22718,-0.53488,1.09451,-0.82
-2.956,-1.38058,-0.47254,1.04097,-2.9422,-1.22718,-0.48295,1.06476,0.26,-2.9299,-1.22718,-0.4936,1.04692,0.26,-2.9176,-1.22718,-0.50406,1.05882,-0.82,-2.9054,-1.07379,-0.51465,1.03502,-0.82,-2.8946,-0.920388,-0.525,0.987434,-0.82
-2.9729,-1.68738,-0.46308,0.945796,-2.956,-1.38058,-0.47254,1.04097,0.26,-2.9422,-1.22718,-0.48295,1.06476,0.26,-2.9299,-1.22718,-0.4936,1.04692,0.26,-2.9176,-1.22718,-0.50406,1.05882,-0.82,-2.9054,-1.07379,-0.51465,1.03502,-0.82
