x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-2.7704,2.7611654,-0.58235,-0.071381,-2.798,2.7611654,-0.58163,-0.13086,-1,-2.8256,2.6077673,-0.58032,-0.17845,-1,-2.8517,2.7611654,-0.57854,-0.23794,-1
-2.7397,3.0679616,-0.58264,-0.029742,-2.7704,2.7611654,-0.58235,-0.071381,-1,-2.798,2.7611654,-0.58163,-0.13086,-1,-2.8256,2.6077673,-0.58032,-0.17845,-1
-2.7136,2.6077673,-0.58252,0.011897,-2.7397,3.0679616,-0.58264,-0.029742,-1,-2.7704,2.7611654,-0.58235,-0.071381,-1,-2.798,2.7611654,-0.58163,-0.13086,-1
-2.686,2.7611654,-0.58199,0.053536,-2.7136,2.6077673,-0.58252,0.011897,-1,-2.7397,3.0679616,-0.58264,-0.029742,-1,-2.7704,2.7611654,-0.58235,-0.071381,-1
-2.6599,2.6077673,-0.5811,0.089226,-2.686,2.7611654,-0.58199,0.053536,-1,-2.7136,2.6077673,-0.58252,0.011897,-1,-2.7397,3.0679616,-0.58264,-0.029742,-1
-2.6323,2.7611654,-0.57985,0.12492,-2.6599,2.6077673,-0.5811,0.089226,-1,-2.686,2.7611654,-0.58199,0.053536,-1,-2.7136,2.6077673,-0.58252,0.011897,-1
-2.6047,2.7611654,-0.5783,0.15466,-2.6323,2.7611654,-0.57985,0.12492,-1,-2.6599,2.6077673,-0.5811,0.089226,-1,-2.686,2.7611654,-0.58199,0.053536,-1
-2.5802,2.4543693,-0.5764,0.19035,-2.6047,2.7611654,-0.5783,0.15466,-1,-2.6323,2.7611654,-0.57985,0.12492,-1,-2.6599,2.6077673,-0.5811,0.089226,-1
-2.5541,2.6077673,-0.57426,0.21414,-2.5802,2.4543693,-0.5764,0.19035,-1,-2.6047,2.7611654,-0.5783,0.15466,-1,-2.6323,2.7611654,-0.57985,0.12492,-1
-2.5311,2.3009712,-0.57182,0.24388,-2.5541,2.6077673,-0.57426,0.21414,-1,-2.5802,2.4543693,-0.5764,0.19035,-1,-2.6047,2.7611654,-0.5783,0.15466,-1
-2.5081,2.3009712,-0.56908,0.27363,-2.5311,2.3009712,-0.57182,0.24388,-1,-2.5541,2.6077673,-0.57426,0.21414,-1,-2.5802,2.4543693,-0.5764,0.19035,-1
-2.485,2.3009712,-0.56611,0.29742,-2.5081,2.3009712,-0.56908,0.27363,-1,-2.5311,2.3009712,-0.57182,0.24388,-1,-2.5541,2.6077673,-0.57426,0.21414,-1
-2.4636,2.1475731,-0.56266,0.34501,-2.485,2.3009712,-0.56611,0.29742,-1,-2.5081,2.3009712,-0.56908,0.27363,-1,-2.5311,2.3009712,-0.57182,0.24388,-1
-2.4452,1.8407769,-0.55944,0.32121,-2.4636,2.1475731,-0.56266,0.34501,-1,-2.485,2.3009712,-0.56611,0.29742,-1,-2.5081,2.3009712,-0.56908,0.27363,-1
-2.4268,1.8407769,-0.55576,0.3688,-2.4452,1.8407769,-0.55944,0.32121,-1,-2.4636,2.1475731,-0.56266,0.34501,-1,-2.485,2.3009712,-0.56611,0.29742,-1
-2.4099,1.6873789,-0.55183,0.39259,-2.4268,1.8407769,-0.55576,0.3688,-1,-2.4452,1.8407769,-0.55944,0.32121,-1,-2.4636,2.1475731,-0.56266,0.34501,-1
-2.3945,1.5339808,-0.54779,0.40449,-2.4099,1.6873789,-0.55183,0.39259,-1,-2.4268,1.8407769,-0.55576,0.3688,-1,-2.4452,1.8407769,-0.55944,0.32121,-1
-2.3792,1.5339808,-0.54344,0.43423,-2.3945,1.5339808,-0.54779,0.40449,-1,-2.4099,1.6873789,-0.55183,0.39259,-1,-2.4268,1.8407769,-0.55576,0.3688,-1
-2.3669,1.2271846,-0.53862,0.48182,-2.3792,1.5339808,-0.54344,0.43423,-1,-2.3945,1.5339808,-0.54779,0.40449,-1,-2.4099,1.6873789,-0.55183,0.39259,-1
-2.3562,1.0737866,-0.53416,0.44613,-2.3669,1.2271846,-0.53862,0.48182,-1,-2.3792,1.5339808,-0.54344,0.43423,-1,-2.3945,1.5339808,-0.54779,0.40449,-1
-2.347,0.92038847,-0.52923,0.49372,-2.3562,1.0737866,-0.53416,0.44613,-1,-2.3669,1.2271846,-0.53862,0.48182,-1,-2.3792,1.5339808,-0.54344,0.43423,-1
-2.3378,0.92038847,-0.52411,0.51156,-2.347,0.92038847,-0.52923,0.49372,-1,-2.3562,1.0737866,-0.53416,0.44613,-1,-2.3669,1.2271846,-0.53862,0.48182,-1
-2.3317,0.61359232,-0.51858,0.5532,-2.3378,0.92038847,-0.52411,0.51156,-1,-2.347,0.92038847,-0.52923,0.49372,-1,-2.3562,1.0737866,-0.53416,0.44613,-1
-2.327,0.46019424,-0.51328,0.52941,-2.3317,0.61359232,-0.51858,0.5532,-1,-2.3378,0.92038847,-0.52411,0.51156,-1,-2.347,0.92038847,-0.52923,0.49372,-1
-2.324,0.30679616,-0.50763,0.5651,-2.327,0.46019424,-0.51328,0.52941,-1,-2.3317,0.61359232,-0.51858,0.5532,-1,-2.3378,0.92038847,-0.52411,0.51156,-1
-2.3224,0.15339808,-0.50169,0.59484,-2.324,0.30679616,-0.50763,0.5651,-1,-2.327,0.46019424,-0.51328,0.52941,-1,-2.3317,0.61359232,-0.51858,0.5532,-1
-2.3224,0,-0.49574,0.59484,-2.3224,0.15339808,-0.50169,0.59484,-1,-2.324,0.30679616,-0.50763,0.5651,-1,-2.327,0.46019424,-0.51328,0.52941,-1
-2.324,-0.15339808,-0.48955,0.61863,-2.3224,0,-0.49574,0.59484,-0.33571,-2.3224,0.15339808,-0.50169,0.59484,-1,-2.324,0.30679616,-0.50763,0.5651,-1
-2.3286,-0.46019424,-0.48289,0.66622,-2.324,-0.15339808,-0.48955,0.61863,-0.33571,-2.3224,0,-0.49574,0.59484,-0.33571,-2.3224,0.15339808,-0.50169,0.59484,-1
